epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1916.02,2.0184,2.70438,1.07708,0.44396,0.34037,0.40035,0.18368,1.81731,2.29927,1.03558,0.000472856,0.000472856,0.000472856
2,3375.63,1.87749,1.73593,1.0408,0.40738,0.50333,0.38492,0.178,1.78537,1.74624,1.04004,0.000930396,0.000930396,0.000930396
3,4667.73,1.83829,1.51448,1.03994,0.56567,0.66554,0.55743,0.28911,1.68665,1.35274,1.0223,0.00136907,0.00136907,0.00136907
4,5942,1.83192,1.30025,1.03656,0.59092,0.67065,0.62047,0.31098,1.84305,1.21058,1.04126,0.00134412,0.00134412,0.00134412
5,7249.24,1.77344,1.15453,1.02784,0.46358,0.57557,0.60115,0.29681,1.69798,1.2726,1.04445,0.00131582,0.00131582,0.00131582
6,8462.69,1.75894,1.09129,1.01399,0.65417,0.66014,0.68541,0.35457,1.67281,1.18829,1.0181,0.00128753,0.00128753,0.00128753
7,9613.47,1.75422,1.07437,1.02051,0.78436,0.77214,0.82474,0.43853,1.66938,0.95995,1.00136,0.00125923,0.00125923,0.00125923
8,10753.3,1.69664,1.03982,1.0073,0.83968,0.80892,0.87239,0.47714,1.60283,0.95569,0.98535,0.00123094,0.00123094,0.00123094
9,11890.3,1.67317,0.99631,1.00049,0.76011,0.7732,0.846,0.48039,1.56652,0.92717,0.98626,0.00120265,0.00120265,0.00120265
10,25118.4,1.69554,0.95583,0.98388,0.87351,0.83753,0.89118,0.49254,1.51808,0.86821,0.97149,0.00117435,0.00117435,0.00117435
11,26694.1,1.66945,0.93898,0.98497,0.88091,0.84803,0.90204,0.52068,1.53036,0.83002,0.96826,0.00114606,0.00114606,0.00114606
12,28111.5,1.66478,0.91922,0.9872,0.89346,0.86236,0.90562,0.51952,1.57873,0.84696,0.98362,0.00111776,0.00111776,0.00111776
13,29692.8,1.63385,0.90209,0.97863,0.83471,0.84199,0.89918,0.52177,1.62817,0.88625,0.98404,0.00108947,0.00108947,0.00108947
14,31169,1.6421,0.88876,0.97492,0.92703,0.8626,0.92058,0.54067,1.48343,0.77073,0.95351,0.00106118,0.00106118,0.00106118
15,32681.6,1.60942,0.88236,0.97033,0.86735,0.8465,0.91639,0.53616,1.4999,0.79008,0.96544,0.00103288,0.00103288,0.00103288
16,34393.3,1.60743,0.86433,0.96509,0.92504,0.88548,0.93578,0.58231,1.48301,0.76012,0.95094,0.00100459,0.00100459,0.00100459
17,35885.3,1.61592,0.84469,0.96451,0.93616,0.89032,0.93855,0.58849,1.45674,0.76847,0.95029,0.000976293,0.000976293,0.000976293
18,37494.2,1.5679,0.8332,0.9664,0.89285,0.86759,0.93478,0.58654,1.45825,0.76287,0.94594,0.000947999,0.000947999,0.000947999
19,39133.8,1.57948,0.82506,0.96376,0.93393,0.89582,0.94606,0.59833,1.44981,0.73404,0.94197,0.000919704,0.000919704,0.000919704
20,41481.1,1.55459,0.81117,0.95036,0.9358,0.90497,0.94206,0.58778,1.4365,0.73366,0.94021,0.00089141,0.00089141,0.00089141
21,43175.6,1.54973,0.80096,0.95231,0.92704,0.89834,0.94441,0.6137,1.39176,0.70747,0.93027,0.000863116,0.000863116,0.000863116
22,44972,1.54647,0.78295,0.95547,0.90805,0.88027,0.93493,0.55942,1.47144,0.73311,0.94708,0.000834822,0.000834822,0.000834822
23,46743.4,1.55537,0.79161,0.94601,0.94299,0.90018,0.94931,0.61602,1.4266,0.71196,0.93576,0.000806528,0.000806528,0.000806528
24,48772.6,1.51149,0.76291,0.93731,0.93228,0.90839,0.94854,0.59766,1.40918,0.6987,0.92736,0.000778233,0.000778233,0.000778233
25,50324.3,1.50745,0.75098,0.93858,0.95789,0.908,0.95472,0.62183,1.38257,0.68075,0.92887,0.000749939,0.000749939,0.000749939
26,52272,1.50681,0.74008,0.93289,0.95702,0.90405,0.95623,0.62706,1.35639,0.65875,0.92013,0.000721645,0.000721645,0.000721645
27,53861,1.49537,0.73289,0.93541,0.93542,0.91084,0.95762,0.62629,1.36335,0.66565,0.9199,0.000693351,0.000693351,0.000693351
28,55657.4,1.49023,0.74261,0.93167,0.95408,0.91817,0.96099,0.63596,1.37089,0.66355,0.91777,0.000665057,0.000665057,0.000665057
29,57201.8,1.46553,0.72894,0.92904,0.95144,0.91046,0.95815,0.63029,1.34926,0.65494,0.91697,0.000636762,0.000636762,0.000636762
30,58610.6,1.49305,0.71882,0.92597,0.95843,0.9248,0.96285,0.65673,1.32952,0.63946,0.90931,0.000608468,0.000608468,0.000608468
31,59938.3,1.45682,0.70658,0.92396,0.95994,0.91697,0.96438,0.6452,1.31661,0.64251,0.90898,0.000580174,0.000580174,0.000580174
32,61262.8,1.44898,0.70296,0.92161,0.94992,0.91659,0.95758,0.65723,1.30122,0.62417,0.90163,0.00055188,0.00055188,0.00055188
33,62643.4,1.44708,0.69474,0.92424,0.94776,0.9294,0.96203,0.66193,1.29935,0.61954,0.90431,0.000523586,0.000523586,0.000523586
34,64081.9,1.42717,0.682,0.92051,0.9508,0.92975,0.96473,0.66015,1.32194,0.61216,0.90397,0.000495291,0.000495291,0.000495291
35,65410.4,1.41395,0.67666,0.91335,0.95159,0.91931,0.96437,0.65076,1.30127,0.61462,0.90571,0.000466997,0.000466997,0.000466997
36,67104.3,1.41773,0.67464,0.91091,0.96473,0.91684,0.96277,0.67612,1.28495,0.60492,0.89941,0.000438703,0.000438703,0.000438703
37,68639.6,1.40488,0.66456,0.9098,0.9584,0.93699,0.96876,0.67117,1.26646,0.59898,0.89575,0.000410409,0.000410409,0.000410409
38,70000.2,1.38134,0.65571,0.90818,0.94749,0.93608,0.96717,0.67355,1.26198,0.59719,0.89584,0.000382115,0.000382115,0.000382115
39,71269.3,1.38715,0.64434,0.90339,0.95352,0.94263,0.97069,0.69052,1.24401,0.58352,0.89167,0.00035382,0.00035382,0.00035382
40,72634.7,1.37081,0.64701,0.90883,0.96159,0.93802,0.96879,0.69128,1.23677,0.58144,0.89121,0.000325526,0.000325526,0.000325526
41,73991.8,1.356,0.62935,0.90768,0.95845,0.94751,0.96896,0.69762,1.26017,0.58668,0.89305,0.000297232,0.000297232,0.000297232
42,75255.8,1.32104,0.60813,0.90447,0.96171,0.94517,0.96836,0.6973,1.25396,0.58035,0.89052,0.000268938,0.000268938,0.000268938
43,76497.7,1.31697,0.6006,0.91013,0.95978,0.94093,0.96894,0.70072,1.2574,0.57973,0.89393,0.000240644,0.000240644,0.000240644
